year,series_type,series_name,series_href
2021,Women,"Pakistan Women tour of West Indies, 2021",https://www.cricbuzz.com/cricket-series/3566/pakistan-women-tour-of-west-indies-2021/matches
2021,Women,"India Women tour of England, 2021",https://www.cricbuzz.com/cricket-series/3497/india-women-tour-of-england-2021/matches
2021,Women,Kwibuka Womens Tournament 2021,https://www.cricbuzz.com/cricket-series/6528/kwibuka-womens-tournament-2021/matches
2021,Women,"Scotland Women tour of Ireland, 2021",https://www.cricbuzz.com/cricket-series/3512/scotland-women-tour-of-ireland-2021/matches
2021,Women,"Australia Women tour of New Zealand, 2021",https://www.cricbuzz.com/cricket-series/3398/australia-women-tour-of-new-zealand-2021/matches
2021,Women,"South Africa Women tour of india, 2021",https://www.cricbuzz.com/cricket-series/3463/south-africa-women-tour-of-india-2021/matches
2021,Women,"England Women tour of New Zealand, 2021",https://www.cricbuzz.com/cricket-series/3402/england-women-tour-of-new-zealand-2021/matches
2021,Women,"Pakistan Women tour of Zimbabwe, 2021 (Cancelled)",https://www.cricbuzz.com/cricket-series/3408/pakistan-women-tour-of-zimbabwe-2021-cancelled/matches
2021,Women,"Pakistan Women tour of South Africa, 2021",https://www.cricbuzz.com/cricket-series/3373/pakistan-women-tour-of-south-africa-2021/matches
2022,International,"New Zealand tour of Pakistan, 2022-23",https://www.cricbuzz.com/cricket-series/4889/new-zealand-tour-of-pakistan-2022-23/matches
2022,International,Malaysia Quadrangular Series 2022-23,https://www.cricbuzz.com/cricket-series/5248/malaysia-quadrangular-series-2022-23/matches
2022,International,East Africa T20I Series 2022,https://www.cricbuzz.com/cricket-series/5225/east-africa-t20i-series-2022/matches
2022,International,"South Africa tour of Australia, 2022-23",https://www.cricbuzz.com/cricket-series/4254/south-africa-tour-of-australia-2022-23/matches
2022,International,"India tour of Bangladesh, 2022",https://www.cricbuzz.com/cricket-series/4905/india-tour-of-bangladesh-2022/matches
2022,International,ICC Mens T20 World Cup Sub Regional Africa Qualifier B 2022,https://www.cricbuzz.com/cricket-series/5029/icc-mens-t20-world-cup-sub-regional-africa-qualifier-b-2022/matches
2022,International,"Afghanistan tour of Sri Lanka, 2022",https://www.cricbuzz.com/cricket-series/4903/afghanistan-tour-of-sri-lanka-2022/matches
2022,International,"India tour of New Zealand, 2022",https://www.cricbuzz.com/cricket-series/4399/india-tour-of-new-zealand-2022/matches
2022,International,ICC Mens T20 World Cup Sub Regional Africa Qualifier A 2022,https://www.cricbuzz.com/cricket-series/5024/icc-mens-t20-world-cup-sub-regional-africa-qualifier-a-2022/matches
2022,International,"United Arab Emirates tour of Nepal, 2022",https://www.cricbuzz.com/cricket-series/4947/united-arab-emirates-tour-of-nepal-2022/matches
2022,International,Desert Cup T20I Series 2022,https://www.cricbuzz.com/cricket-series/5022/desert-cup-t20i-series-2022/matches
2022,International,"Spain Triangular T20I Series, 2022-23",https://www.cricbuzz.com/cricket-series/4917/spain-triangular-t20i-series-2022-23/matches
2022,International,"Rwanda tour of Tanzania, 2022",https://www.cricbuzz.com/cricket-series/4931/rwanda-tour-of-tanzania-2022/matches
